lang_name,count,year
Algonquin,3,1855
Taíno,4,1855
Proto-Sino-Tibetan,3,1855
Ojibwe,1,1855
Nahuatl,1,1855
Lombardic,1,1855
Japanese,4,1855
Mohegan-Pequot,1,1855
Slavic,3,1855
Sanskrit,7,1855
Proto-Brythonic,4,1855
Cayuga,1,1855
Old Welsh,1,1855
Min Nan,1,1855
Mohawk,1,1855
Korean,1,1855
Wyandot,1,1855
Proto-Nuclear Polynesian,1,1855
Proto-Turkic,3,1855
Choctaw,1,1855
Polish,2,1855
Onondaga,1,1855
Proto-Algonquian,2,1855
Etruscan,1,1855
Malay,1,1855
Gothic,2,1855
Malayalam,1,1855
Welsh,1,1855
Semitic,1,1855
Proto-Hurro-Urartian,1,1855
Provençal,1,1855
Egyptian,1,1855
Azerbaijani,1,1855
Oneida,1,1855
Caribbean Hindustani,1,1855
Burmese,1,1855
Danish,1,1855
Czech,1,1855
Chibcha,1,1855
Hawaiian,1,1855
Gaulish,1,1855
Quechua,1,1855
Proto-Austronesian,1,1855
Powhatan,1,1855
English,843,1856
German,1136,1856
Norse,54,1856
Latin,1027,1856
Arabic,12,1856
Greek,168,1856
Itali,204,1856
Anglo-Norman,173,1856
French,325,1856
Dutch,26,1856
Old Tupi,1,1856
Khoekhoe,1,1856
Seneca,1,1856
Omaha-Ponca,1,1856
Spanish,16,1856
Celtic,34,1856
Persian,6,1856
Swedish,3,1856
Sumerian,6,1856
Classical Nahuatl,2,1856
Laurentian,1,1856
Algonquin,3,1856
Russian,1,1856
Cornish,1,1856
Chinese,4,1856
Menominee,1,1856
Irish,6,1856
Nahuatl,1,1856
Hindi,1,1856
Miami,3,1856
Hebrew,32,1856
Sanskrit,8,1856
Moore,1,1856
Saxon,4,1856
Potawatomi,1,1856
Gaelic,3,1856
Iranian,3,1856
Proto-Hellenic,24,1856
Ojibwe,2,1856
Phoenician,4,1856
Choctaw,1,1856
Scots,1,1856
Frankish,17,1856
Dakota,1,1856
Mohegan-Pequot,1,1856
Taíno,3,1856
Etruscan,2,1856
Proto-Turkic,3,1856
Japanese,4,1856
Powhatan,2,1856
Slavic,6,1856
Oscan,1,1856
Czech,1,1856
Akkadian,2,1856
Ancient Ligurian,1,1856
Portuguese,4,1856
Proto-Sino-Tibetan,1,1856
Mandarin,1,1856
Opata,1,1856
Lakota,1,1856
Lombardic,2,1856
Provençal,1,1856
Quechua,2,1856
Norwegian,1,1856
Ukrainian,1,1856
Bengali,1,1856
Onondaga,1,1856
Norman,2,1856
Proto-Algonquian,1,1856
Proto-Brythonic,2,1856
Min Nan,1,1856
Wyandot,1,1856
Welsh,2,1856
Mohawk,1,1856
Pictish,1,1856
Polish,2,1856
Romani,1,1856
Khmer,1,1856
Proto-Austronesian,2,1856
Proto-Basque,1,1856
Gothic,1,1856
Old Welsh,1,1856
Caribbean Hindustani,1,1856
Old Occitan,1,1856
Vietnamese,1,1856
Catalan,1,1856
Egyptian,2,1856
Gaulish,1,1856
Ute,1,1856
Mongolian,1,1856
Ottawa,1,1856
Punic,1,1856
English,877,1857
German,1159,1857
Norse,45,1857
Latin,1127,1857
French,395,1857
Arabic,18,1857
Greek,194,1857
Anglo-Norman,200,1857
Itali,188,1857
Dutch,35,1857
Old Tupi,2,1857
Celtic,30,1857
Spanish,13,1857
Seneca,1,1857
Miami,2,1857
Lakota,1,1857
Iranian,6,1857
Classical Nahuatl,4,1857
Persian,12,1857
Portuguese,7,1857
Hindi,1,1857
Khoekhoe,1,1857
Cornish,1,1857
Dakota,1,1857
Menominee,1,1857
Chinese,4,1857
Laurentian,2,1857
Sumerian,7,1857
Ojibwe,2,1857
Sanskrit,5,1857
Saxon,3,1857
Hebrew,33,1857
Old Welsh,1,1857
Moore,1,1857
Taíno,3,1857
Frankish,26,1857
Oscan,1,1857
Akkadian,5,1857
Mohegan-Pequot,2,1857
Romani,1,1857
Swedish,2,1857
Choctaw,2,1857
Shawnee,1,1857
Irish,8,1857
Nahuatl,1,1857
Proto-Hellenic,20,1857
Phoenician,3,1857
Russian,2,1857
Proto-Brythonic,3,1857
Omaha-Ponca,1,1857
Quechua,1,1857
Serbo-Croatian,1,1857
Provençal,2,1857
Algonquin,3,1857
Gaelic,5,1857
Aramaic,2,1857
Kansa,1,1857
Chibcha,1,1857
Proto-Austronesian,1,1857
Marathi,1,1857
Japanese,5,1857
Malay,1,1857
Potawatomi,1,1857
Danish,4,1857
Proto-Scythian,1,1857
Punjabi,1,1857
Catalan,1,1857
Mohawk,1,1857
Wyandot,1,1857
Gothic,2,1857
Hawaiian,1,1857
Bengali,1,1857
Proto-Algonquian,1,1857
Tewa,1,1857
Akan,1,1857
Afrikaans,1,1857
Maori,1,1857
Scots,3,1857
Lombardic,2,1857
Breton,1,1857
Slavic,1,1857
Thai,1,1857
Proto-Sino-Tibetan,1,1857
Mandarin,1,1857
Welsh,3,1857
Proto-Turkic,1,1857
Punic,1,1857
Vietnamese,1,1857
Khmer,1,1857
Unami,2,1857
Mongolian,1,1857
Polish,1,1857
Ottoman Turkish,1,1857
English,854,1858
German,1133,1858
Norse,31,1858
Latin,1064,1858
Arabic,18,1858
French,312,1858
Greek,163,1858
Anglo-Norman,179,1858
Itali,180,1858
Old Tupi,2,1858
Dutch,30,1858
Ute,1,1858
Spanish,13,1858
Lakota,2,1858
Celtic,28,1858
Seneca,1,1858
Persian,11,1858
Classical Nahuatl,4,1858
Sanskrit,10,1858
Laurentian,2,1858
Russian,1,1858
Potawatomi,1,1858
Omaha-Ponca,1,1858
Caribbean Hindustani,1,1858
Khoekhoe,1,1858
Algonquin,3,1858
Hebrew,33,1858
Kansa,1,1858
Nahuatl,2,1858
Portuguese,6,1858
Proto-Hellenic,17,1858
Akkadian,5,1858
Frankish,22,1858
Cornish,1,1858
Hindi,1,1858
Miami,2,1858
Irish,9,1858
Menominee,1,1858
Choctaw,1,1858
Japanese,4,1858
Moore,1,1858
Iranian,4,1858
Dakota,1,1858
Catalan,1,1858
Chinese,6,1858
Vietnamese,2,1858
Armenian,1,1858
Sumerian,6,1858
Saxon,5,1858
Swedish,1,1858
Danish,1,1858
Gaelic,3,1858
Onondaga,1,1858
Czech,1,1858
Mandarin,1,1858
Proto-Sino-Tibetan,2,1858
Min Nan,1,1858
Chibcha,1,1858
Slavic,3,1858
Scots,3,1858
Proto-Brythonic,2,1858
Old Turkic,1,1858
Etruscan,1,1858
Semitic,2,1858
Urdu,1,1858
Avar,1,1858
Taíno,3,1858
Welsh,4,1858
Gothic,2,1858
Oneida,1,1858
Proto-Turkic,2,1858
Malecite-Passamaquoddy,1,1858
Aramaic,1,1858
Lombardic,2,1858
Malayalam,1,1858
Wyandot,1,1858
Punic,1,1858
Gaulish,1,1858
Oscan,1,1858
Egyptian,1,1858
Polish,2,1858
Old Welsh,1,1858
Mohegan-Pequot,1,1858
Proto-Nuclear Polynesian,1,1858
Ojibwe,1,1858
Hawaiian,1,1858
Phoenician,2,1858
Provençal,1,1858
Mohawk,1,1858
Korean,1,1858
Elamite,1,1858
Guugu Yimidhirr,1,1858
English,820,1859
German,1077,1859
Norse,46,1859
Latin,1079,1859
Arabic,17,1859
Anglo-Norman,175,1859
Greek,175,1859
Itali,188,1859
Old Tupi,1,1859
French,333,1859
Taíno,5,1859
Dutch,32,1859
Classical Nahuatl,2,1859
Khoekhoe,1,1859
Sumerian,5,1859
Celtic,38,1859
Caribbean Hindustani,1,1859
Seneca,1,1859
Oscan,1,1859
Nahuatl,1,1859
Potawatomi,1,1859
Iranian,10,1859
Russian,3,1859
Hindi,2,1859
Spanish,18,1859
Saxon,5,1859
Mohawk,1,1859
Moore,1,1859
Miami,2,1859
Proto-Austronesian,1,1859
Opata,1,1859
Persian,7,1859
Portuguese,7,1859
Proto-Hellenic,22,1859
Min Nan,1,1859
Laurentian,2,1859
Algonquin,2,1859
Hebrew,26,1859
Tewa,1,1859
Omaha-Ponca,1,1859
Swedish,2,1859
Irish,11,1859
Frankish,16,1859
Mohegan-Pequot,1,1859
Ojibwe,2,1859
Scots,3,1859
Gaelic,5,1859
Menominee,1,1859
Japanese,2,1859
Welsh,3,1859
Proto-Sino-Tibetan,4,1859
Proto-Brythonic,4,1859
Sanskrit,6,1859
Choctaw,1,1859
Mandarin,2,1859
Aramaic,3,1859
Lakota,1,1859
Tamil,1,1859
Romani,1,1859
Cree,1,1859
Hawaiian,1,1859
Egyptian,1,1859
Onondaga,1,1859
Muong,1,1859
Cornish,2,1859
Phoenician,1,1859
Wyandot,1,1859
Armenian,1,1859
Slavic,4,1859
Proto-Algonquian,1,1859
Kongo,1,1859
Chinese,2,1859
Etruscan,1,1859
Old Welsh,1,1859
Quechua,1,1859
Galician,1,1859
Norwegian,1,1859
Ute,1,1859
Serbo-Croatian,1,1859
Semitic,1,1859
Unami,1,1859
Lombardic,2,1859
Danish,2,1859
Azerbaijani,1,1859
Saterland Frisian,1,1859
Navajo,2,1859
Czech,1,1859
Gaulish,1,1859
Akkadian,1,1859
English,1202,1860
German,1461,1860
Norse,59,1860
Arabic,22,1860
Latin,1523,1860
Greek,251,1860
Itali,256,1860
Anglo-Norman,249,1860
Old Tupi,1,1860
French,491,1860
Celtic,44,1860
Khoekhoe,1,1860
Laurentian,2,1860
Classical Nahuatl,5,1860
Oscan,1,1860
Sumerian,6,1860
Seneca,1,1860
Spanish,33,1860
Russian,2,1860
Nahuatl,1,1860
Ojibwe,5,1860
Persian,10,1860
Dutch,52,1860
Saxon,6,1860
Slavic,2,1860
Proto-Hellenic,34,1860
Hebrew,38,1860
Gaelic,3,1860
Mohegan-Pequot,1,1860
Swedish,2,1860
Egyptian,2,1860
Portuguese,7,1860
Iranian,4,1860
Frankish,33,1860
Quechua,5,1860
Min Nan,2,1860
Irish,20,1860
Czech,3,1860
Sanskrit,7,1860
Miami,1,1860
Chinese,5,1860
Taíno,3,1860
Hindi,2,1860
Japanese,5,1860
Choctaw,2,1860
Omaha-Ponca,1,1860
Proto-Turkic,3,1860
Caribbean Hindustani,1,1860
Menominee,1,1860
Moore,1,1860
Galician,1,1860
Algonquin,4,1860
Potawatomi,1,1860
Guugu Yimidhirr,1,1860
Lakota,2,1860
Mohawk,1,1860
Bengali,1,1860
Kongo,1,1860
Welsh,4,1860
Malay,1,1860
Proto-Brythonic,1,1860
Opata,1,1860
Azerbaijani,1,1860
Romani,1,1860
Unami,1,1860
Maori,3,1860
Scots,2,1860
Proto-Scythian,1,1860
Akkadian,2,1860
Ute,1,1860
Armenian,1,1860
Proto-Algonquian,2,1860
Danish,4,1860
Polish,5,1860
Onondaga,1,1860
Mandarin,4,1860
Phoenician,3,1860
Etruscan,3,1860
Proto-Sino-Tibetan,1,1860
Vietnamese,2,1860
Proto-Ugric,1,1860
Yoruba,1,1860
Mapudungun,1,1860
Hawaiian,1,1860
Old Occitan,1,1860
Somali,1,1860
Iberian,1,1860
Proto-Mongolic,1,1860
Proto-Albanian,1,1860
Punic,1,1860
Provençal,2,1860
Proto-Nuclear Polynesian,2,1860
Korean,1,1860
Dakota,1,1860
Cornish,1,1860
O'odham,1,1860
Gothic,1,1860
Lombardic,1,1860
Old Welsh,1,1860
Chibcha,1,1860
Basque,1,1860
Tewa,1,1860
English,1166,1861
German,1516,1861
Norse,67,1861
Arabic,20,1861
Latin,1450,1861
Itali,259,1861
Greek,244,1861
Old Tupi,2,1861
Anglo-Norman,226,1861
French,472,1861
Dutch,50,1861
Celtic,52,1861
Hindi,4,1861
Spanish,26,1861
Iranian,8,1861
Russian,3,1861
Persian,7,1861
Choctaw,1,1861
Proto-Hellenic,36,1861
Frankish,37,1861
Classical Nahuatl,5,1861
Hebrew,50,1861
Laurentian,2,1861
Khoekhoe,1,1861
Ojibwe,2,1861
Seneca,1,1861
Oscan,1,1861
Sumerian,5,1861
Proto-Brythonic,3,1861
Miami,1,1861
Akkadian,5,1861
Mohawk,1,1861
Japanese,5,1861
Czech,1,1861
Gaelic,5,1861
Potawatomi,1,1861
Irish,27,1861
Mohegan-Pequot,1,1861
Saxon,7,1861
Guugu Yimidhirr,2,1861
Nahuatl,1,1861
Moore,1,1861
Phoenician,2,1861
Quechua,5,1861
Algonquin,3,1861
Old Breton,1,1861
Portuguese,4,1861
Lombardic,2,1861
Aramaic,2,1861
Sanskrit,8,1861
Chinese,4,1861
Proto-Turkic,4,1861
Basque,2,1861
Polish,3,1861
Mundari,2,1861
Swedish,1,1861
Danish,2,1861
Vietnamese,1,1861
Menominee,1,1861
Opata,1,1861
Scots,5,1861
Taíno,4,1861
Welsh,2,1861
Old Welsh,1,1861
Caribbean Hindustani,1,1861
Cornish,1,1861
Unami,1,1861
Chibcha,1,1861
Min Nan,1,1861
Malay,3,1861
Proto-Algonquian,2,1861
Breton,1,1861
Etruscan,2,1861
Marathi,1,1861
Wyandot,2,1861
Gothic,2,1861
Armenian,1,1861
Bambara,1,1861
Middle Welsh,1,1861
Urdu,1,1861
Mandarin,3,1861
Gaulish,1,1861
Old Armenian,1,1861
Caddo,1,1861
Punjabi,1,1861
Proto-Sino-Tibetan,1,1861
Galician,1,1861
Norman,1,1861
Norwegian,1,1861
Romanian,1,1861
Bengali,1,1861
Cayuga,1,1861
Dharug,1,1861
Slavic,1,1861
Lakota,1,1861
English,1386,1862
German,1751,1862
Norse,72,1862
Arabic,27,1862
Latin,1722,1862
Itali,294,1862
Anglo-Norman,285,1862
Greek,287,1862
French,641,1862
Old Tupi,2,1862
Celtic,49,1862
Classical Nahuatl,4,1862
Miami,2,1862
Dutch,68,1862
Seneca,1,1862
Persian,10,1862
Hindi,1,1862
Russian,2,1862
Laurentian,2,1862
Portuguese,6,1862
Spanish,32,1862
Hebrew,50,1862
Khoekhoe,1,1862
Proto-Hellenic,34,1862
Nahuatl,1,1862
Frankish,48,1862
Iranian,7,1862
Ojibwe,2,1862
Mohegan-Pequot,1,1862
Potawatomi,1,1862
Slavic,3,1862
Moore,1,1862
Swedish,4,1862
Saxon,7,1862
Sumerian,7,1862
Akkadian,4,1862
Japanese,7,1862
Sanskrit,8,1862
Guugu Yimidhirr,2,1862
Dakota,1,1862
Oscan,1,1862
Irish,26,1862
Mohawk,1,1862
Gaelic,4,1862
Cornish,2,1862
Caddo,1,1862
Ute,1,1862
Proto-Brythonic,6,1862
Phoenician,5,1862
Choctaw,1,1862
Taíno,2,1862
Armenian,1,1862
Azerbaijani,1,1862
Etruscan,3,1862
Proto-Austronesian,2,1862
Danish,4,1862
Chinese,3,1862
Chibcha,1,1862
Provençal,3,1862
Algonquin,3,1862
Gothic,2,1862
Aramaic,2,1862
Polish,2,1862
Quechua,2,1862
Cherokee,1,1862
Lakota,1,1862
Middle Welsh,1,1862
Hausa,1,1862
Breton,1,1862
Menominee,1,1862
Unami,2,1862
Caribbean Hindustani,1,1862
Scots,4,1862
Old Occitan,2,1862
Marathi,1,1862
Basque,2,1862
Proto-Sino-Tibetan,2,1862
Vietnamese,2,1862
Old Breton,1,1862
Welsh,3,1862
Ancient Ligurian,1,1862
Galician,1,1862
Kansa,1,1862
Punjabi,1,1862
Ge'ez,1,1862
Lombardic,2,1862
Onondaga,1,1862
Oneida,1,1862
Malay,1,1862
Proto-Turkic,3,1862
Catalan,1,1862
Zazaki,1,1862
Wyandot,1,1862
Norman,1,1862
Ottoman Turkish,1,1862
Romani,2,1862
Opata,1,1862
Old Welsh,3,1862
Serbo-Croatian,1,1862
Lower Sorbian,1,1862
Semitic,2,1862
Navajo,1,1862
Korean,1,1862
Khmer,1,1862
Occitan,1,1862
Bengali,1,1862
Egyptian,2,1862
Proto-Mixe-Zoque,1,1862
Min Nan,2,1862
Haitian Creole,1,1862
Mundari,1,1862
English,1162,1863
German,1494,1863
Norse,56,1863
Arabic,24,1863
Anglo-Norman,226,1863
Latin,1492,1863
Greek,232,1863
Itali,244,1863
Old Tupi,1,1863
French,498,1863
Dutch,52,1863
Celtic,36,1863
Choctaw,2,1863
Russian,1,1863
Persian,8,1863
Classical Nahuatl,4,1863
Ojibwe,5,1863
Spanish,20,1863
Miami,2,1863
Frankish,34,1863
Khoekhoe,1,1863
Irish,22,1863
Nahuatl,1,1863
Seneca,1,1863
Iranian,6,1863
Akkadian,2,1863
Moore,1,1863
Hebrew,53,1863
Scots,2,1863
Mohegan-Pequot,2,1863
Saxon,7,1863
Potawatomi,1,1863
Proto-Hellenic,29,1863
Portuguese,3,1863
Proto-Brythonic,5,1863
Hindi,2,1863
Laurentian,1,1863
Swedish,3,1863
Algonquin,4,1863
Menominee,1,1863
Taíno,3,1863
Aramaic,3,1863
Sumerian,8,1863
Lakota,1,1863
Oscan,1,1863
Mohawk,1,1863
Gaelic,4,1863
Phoenician,3,1863
Min Nan,1,1863
Guugu Yimidhirr,1,1863
Japanese,7,1863
Slavic,3,1863
Etruscan,4,1863
Catalan,1,1863
Cornish,1,1863
Oneida,1,1863
Dakota,1,1863
Galician,1,1863
Unami,2,1863
Gothic,2,1863
Quechua,3,1863
Basque,3,1863
Azerbaijani,1,1863
Danish,3,1863
Norman,1,1863
Chinese,3,1863
Mandarin,1,1863
Ute,1,1863
Armenian,1,1863
Sanskrit,7,1863
Proto-Sino-Tibetan,1,1863
Proto-Austronesian,1,1863
Proto-Turkic,2,1863
Elamite,1,1863
Old Welsh,2,1863
Hawaiian,1,1863
Old Breton,1,1863
Yoruba,1,1863
Wyandot,1,1863
Bengali,1,1863
Burmese,1,1863
Serbo-Croatian,1,1863
Welsh,2,1863
Vietnamese,2,1863
Ottoman Turkish,1,1863
Proto-Siouan,1,1863
Polish,2,1863
Old Occitan,1,1863
Czech,1,1863
Cherokee,1,1863
Chickasaw,1,1863
Caribbean Hindustani,1,1863
Proto-Tibeto-Burman,1,1863
Afrikaans,1,1863
Zulu,1,1863
Urdu,1,1863
Omaha-Ponca,1,1863
English,1133,1864
German,1476,1864
Norse,61,1864
Arabic,24,1864
Anglo-Norman,253,1864
Latin,1409,1864
Greek,233,1864
Old Tupi,1,1864
Itali,250,1864
French,468,1864
Spanish,15,1864
Celtic,41,1864
Dutch,43,1864
Russian,4,1864
Seneca,1,1864
Iranian,9,1864
Nahuatl,1,1864
Persian,8,1864
Saxon,8,1864
Hebrew,47,1864
Laurentian,2,1864
Frankish,36,1864
Khoekhoe,1,1864
Choctaw,1,1864
Proto-Hellenic,34,1864
Classical Nahuatl,6,1864
Ojibwe,4,1864
Akkadian,5,1864
Potawatomi,1,1864
Mohegan-Pequot,1,1864
Mohawk,1,1864
Sumerian,9,1864
Cornish,1,1864
Moore,1,1864
Japanese,4,1864
Irish,24,1864
Proto-Brythonic,7,1864
Taíno,2,1864
Phoenician,4,1864
Unami,1,1864
Proto-Sino-Tibetan,2,1864
Miami,1,1864
Menominee,1,1864
Oscan,1,1864
Czech,1,1864
Chinese,4,1864
Polish,1,1864
Slavic,4,1864
Sanskrit,7,1864
Swedish,1,1864
Mandarin,3,1864
Algonquin,4,1864
Vietnamese,2,1864
Galician,1,1864
Breton,2,1864
Danish,1,1864
Aramaic,1,1864
Old Welsh,2,1864
Scots,3,1864
Min Nan,1,1864
Basque,1,1864
Old Polish,1,1864
Oneida,2,1864
Norman,1,1864
Armenian,1,1864
Portuguese,4,1864
Welsh,2,1864
Gaelic,6,1864
Lombardic,2,1864
Gothic,1,1864
Shawnee,1,1864
Proto-Turkic,2,1864
Hindi,1,1864
Hawaiian,1,1864
Quechua,4,1864
Bambara,1,1864
Mongolian,1,1864
Middle Welsh,1,1864
Old Occitan,3,1864
Urdu,1,1864
Etruscan,2,1864
Purepecha,1,1864
Old Breton,1,1864
Serbo-Croatian,1,1864
Afrikaans,1,1864
Burmese,2,1864
Semitic,3,1864
Lower Sorbian,1,1864
Azerbaijani,1,1864
Onondaga,1,1864
Plains Apache,1,1864
Powhatan,1,1864
Cherokee,1,1864
Gaulish,1,1864
Proto-Algonquian,1,1864
Chibcha,1,1864
Proto-Arawak,1,1864
Ute,1,1864
Icelandic,1,1864
Provençal,1,1864
English,1089,1865
German,1406,1865
Norse,51,1865
Arabic,19,1865
Latin,1401,1865
Anglo-Norman,225,1865
Greek,225,1865
Old Tupi,1,1865
Itali,255,1865
French,445,1865
Celtic,47,1865
Russian,6,1865
Dutch,42,1865
Persian,10,1865
Iranian,5,1865
Laurentian,2,1865
Classical Nahuatl,4,1865
Miami,1,1865
Seneca,1,1865
Spanish,21,1865
Oneida,2,1865
Proto-Hellenic,32,1865
Hebrew,41,1865
Taíno,3,1865
Sumerian,7,1865
Cornish,1,1865
Akkadian,3,1865
Khoekhoe,1,1865
Irish,14,1865
Scots,4,1865
Gaelic,4,1865
Portuguese,6,1865
Proto-Brythonic,5,1865
Nahuatl,1,1865
Ojibwe,1,1865
Mohawk,1,1865
Saxon,5,1865
Algonquin,1,1865
Frankish,27,1865
Oscan,1,1865
Moore,1,1865
Potawatomi,1,1865
Mohegan-Pequot,1,1865
Quechua,3,1865
Dakota,1,1865
Sanskrit,8,1865
Menominee,1,1865
Opata,1,1865
Choctaw,2,1865
Aramaic,1,1865
Unami,1,1865
Japanese,4,1865
Old Welsh,2,1865
Etruscan,1,1865
Navajo,1,1865
Swedish,2,1865
Breton,1,1865
Hungarian,1,1865
Welsh,2,1865
Galician,1,1865
