count,lang,rel_lang,rel_type
5,English,Translingual,has_prefix_with_root
7,English,Translingual,has_suffix
2,English,Translingual,has_confix
3,English,Translingual,has_affix
2,English,Translingual,blend_of
1,English,Translingual,calque_of
960,English,Anglo-Norman,derived_from
53,English,Anglo-Norman,etymologically_related_to
9,English,Anglo-Norman,borrowed_from
1,English,Anglo-Norman,calque_of
376,English,Frankish,derived_from
1,English,Frankish,borrowed_from
58,English,Frankish,etymologically_related_to
11,English,Etruscan,derived_from
5,English,Etruscan,etymologically_related_to
145,English,Icelandic,etymologically_related_to
21,English,Icelandic,derived_from
24,English,Icelandic,borrowed_from
4,English,Icelandic,calque_of
634,English,Russian,borrowed_from
372,English,Russian,etymologically_related_to
424,English,Russian,derived_from
36,English,Russian,calque_of
1,English,Russian,orthographic_borrowing_from
2,English,Russian,has_prefix_with_root
2,English,Russian,has_suffix
1,English,Russian,learned_borrowing_from
9,English,Russian,has_affix
573,English,Old Norse,etymologically_related_to
982,English,Old Norse,derived_from
6,English,Old Norse,calque_of
90,English,Old Norse,borrowed_from
5,English,Old Norse,learned_borrowing_from
4,English,Old Norse,has_affix
8,English,Old Norse,compound_of
2,English,Old Norse,inherited_from
159,English,Danish,etymologically_related_to
4,English,Danish,has_affix
56,English,Danish,derived_from
63,English,Danish,borrowed_from
7,English,Danish,calque_of
3,English,Danish,compound_of
117,English,Norwegian,etymologically_related_to
55,English,Norwegian,derived_from
109,English,Norwegian,borrowed_from
2,English,Norwegian,compound_of
1,English,Norwegian,learned_borrowing_from
178,English,Middle Low German,derived_from
155,English,Middle Low German,etymologically_related_to
26,English,Middle Low German,borrowed_from
2,English,Middle Low German,has_affix
1,English,Middle Low German,learned_borrowing_from
30,English,Old Saxon,derived_from
40,English,Old Saxon,etymologically_related_to
8,English,Massachusett,derived_from
7,English,Massachusett,etymologically_related_to
4,English,Massachusett,borrowed_from
6,English,Massachusett,compound_of
626,English,Scots,etymologically_related_to
107,English,Scots,borrowed_from
126,English,Scots,derived_from
1,English,Scots,orthographic_borrowing_from
1,English,Scots,semantic_loan_of
4,English,Scots,compound_of
428,English,Dutch,borrowed_from
788,English,Dutch,etymologically_related_to
433,English,Dutch,derived_from
14,English,Dutch,compound_of
29,English,Dutch,calque_of
1,English,Dutch,semantic_loan_of
1,English,Dutch,has_prefix_with_root
1,English,Dutch,has_suffix
84,English,Afrikaans,etymologically_related_to
190,English,Afrikaans,borrowed_from
89,English,Afrikaans,derived_from
1,English,Afrikaans,has_suffix
6,English,Afrikaans,calque_of
8,English,Afrikaans,compound_of
370,English,Middle Dutch,derived_from
280,English,Middle Dutch,etymologically_related_to
31,English,Middle Dutch,borrowed_from
1,English,Middle Dutch,inherited_from
1,English,Middle Dutch,calque_of
4,English,Middle Dutch,compound_of
2093,English,Spanish,borrowed_from
625,English,Spanish,etymologically_related_to
660,English,Spanish,derived_from
16,English,Spanish,has_affix
11,English,Spanish,has_prefix_with_root
11,English,Spanish,has_suffix
1,English,Spanish,clipping_of
29,English,Spanish,calque_of
2,English,Spanish,unadapted_borrowing_from
4,English,Spanish,blend_of
7,English,Spanish,compound_of
1,English,Spanish,has_prefix
101,English,Tagalog,borrowed_from
23,English,Tagalog,derived_from
38,English,Tagalog,etymologically_related_to
2,English,Tagalog,calque_of
2,English,Tagalog,blend_of
1,English,Tagalog,has_prefix
1,English,Tagalog,has_prefix_with_root
3,English,Tagalog,has_affix
2236,English,Italian,borrowed_from
864,English,Italian,etymologically_related_to
832,English,Italian,derived_from
21,English,Italian,calque_of
10,English,Italian,has_prefix
13,English,Italian,has_prefix_with_root
1,English,Italian,named_after
1,English,Italian,learned_borrowing_from
18,English,Italian,has_affix
6,English,Italian,unadapted_borrowing_from
4,English,Italian,has_suffix
2,English,Italian,blend_of
251,English,Portuguese,derived_from
316,English,Portuguese,borrowed_from
133,English,Portuguese,etymologically_related_to
4,English,Portuguese,calque_of
2,English,Portuguese,compound_of
1,English,Portuguese,has_prefix
2,English,Portuguese,has_prefix_with_root
1,English,Portuguese,has_suffix
108,English,Malay,derived_from
155,English,Malay,borrowed_from
38,English,Malay,etymologically_related_to
1,English,Malay,has_prefix
2,English,Malay,has_prefix_with_root
1,English,Malay,has_suffix
2,English,Malay,blend_of
1,English,Malay,calque_of
24,English,Biblical Hebrew,borrowed_from
64,English,Biblical Hebrew,derived_from
1,English,Biblical Hebrew,etymologically_related_to
9,English,Biblical Hebrew,calque_of
309,English,Hebrew,borrowed_from
252,English,Hebrew,etymologically_related_to
584,English,Hebrew,derived_from
1,English,Hebrew,has_prefix_with_root
1,English,Hebrew,has_suffix
2,English,Hebrew,has_affix
2,English,Hebrew,compound_of
5,English,Hebrew,calque_of
24,English,Aramaic,etymologically_related_to
56,English,Aramaic,derived_from
4,English,Aramaic,borrowed_from
40,English,Ecclesiastical Latin,derived_from
11,English,Ecclesiastical Latin,borrowed_from
3,English,Ecclesiastical Latin,calque_of
119,English,Ottoman Turkish,derived_from
24,English,Ottoman Turkish,etymologically_related_to
66,English,Ottoman Turkish,borrowed_from
1,English,Ottoman Turkish,calque_of
1,English,Ottoman Turkish,inherited_from
186,English,Persian,etymologically_related_to
416,English,Persian,derived_from
195,English,Persian,borrowed_from
10,English,Persian,compound_of
1,English,Persian,has_prefix_with_root
1,English,Persian,has_suffix
3,English,Persian,calque_of
2,English,Persian,has_affix
20,English,Proto-Semitic,derived_from
4,English,Proto-Semitic,etymologically_related_to
1,English,Proto-Semitic,borrowed_from
95,English,Old Northern French,derived_from
1,English,Old Northern French,etymologically_related_to
1644,English,German,etymologically_related_to
2055,English,German,borrowed_from
1201,English,German,derived_from
171,English,German,calque_of
2,English,German,semantic_loan_of
52,English,German,compound_of
38,English,German,has_affix
8,English,German,has_suffix
9,English,German,has_prefix_with_root
3,English,German,has_prefix
4,English,German,blend_of
1,English,Sranan Tongo,borrowed_from
7,English,Akan,etymologically_related_to
6,English,Akan,borrowed_from
8,English,Akan,derived_from
159,English,Old High German,derived_from
246,English,Old High German,etymologically_related_to
6,English,Old High German,inherited_from
393,English,Swedish,etymologically_related_to
220,English,Swedish,borrowed_from
81,English,Swedish,derived_from
4,English,Swedish,compound_of
4,English,Swedish,has_affix
1,English,Swedish,has_prefix_with_root
1,English,Swedish,has_suffix
1,English,Swedish,named_after
7,English,Swedish,calque_of
1840,English,Japanese,borrowed_from
372,English,Japanese,etymologically_related_to
307,English,Japanese,derived_from
4,English,Japanese,compound_of
50,English,Japanese,calque_of
4,English,Japanese,blend_of
1,English,Japanese,clipping_of
1,English,Japanese,unadapted_borrowing_from
32,English,Lithuanian,etymologically_related_to
7,English,Lithuanian,derived_from
10,English,Lithuanian,borrowed_from
84,English,Greek,etymologically_related_to
110,English,Greek,derived_from
170,English,Greek,borrowed_from
2,English,Greek,has_prefix_with_root
2,English,Greek,has_suffix
2,English,Greek,calque_of
4,English,Greek,compound_of
1,English,Greek,has_affix
124,English,Yiddish,derived_from
185,English,Yiddish,borrowed_from
60,English,Yiddish,etymologically_related_to
3,English,Yiddish,calque_of
1,English,Yiddish,semantic_loan_of
2,English,Yiddish,has_prefix_with_root
2,English,Yiddish,has_suffix
2,English,Yiddish,blend_of
2,English,Yiddish,has_affix
90,English,Czech,etymologically_related_to
119,English,Czech,derived_from
2,English,Czech,has_affix
122,English,Czech,borrowed_from
34,English,Amharic,borrowed_from
9,English,Amharic,derived_from
8,English,Amharic,etymologically_related_to
23,English,Old Tupi,etymologically_related_to
5,English,Old Tupi,borrowed_from
50,English,Old Tupi,derived_from
44,English,Occitan,etymologically_related_to
35,English,Occitan,derived_from
8,English,Occitan,borrowed_from
2,English,Occitan,compound_of
2,English,Occitan,has_affix
385,English,Vulgar Latin,derived_from
6,English,Vulgar Latin,etymologically_related_to
2,English,Vulgar Latin,borrowed_from
132,English,Urdu,borrowed_from
77,English,Urdu,etymologically_related_to
92,English,Urdu,derived_from
1,English,Urdu,calque_of
158,English,Armenian,borrowed_from
111,English,Armenian,derived_from
24,English,Armenian,etymologically_related_to
1,English,Armenian,learned_borrowing_from
41,English,Old Occitan,etymologically_related_to
62,English,Old Occitan,derived_from
2,English,Old Occitan,borrowed_from
30,English,Old Italian,derived_from
1,English,Old Italian,etymologically_related_to
15,English,Tamil,etymologically_related_to
35,English,Tamil,derived_from
61,English,Tamil,borrowed_from
4,English,Tamil,compound_of
52,English,Old Frisian,etymologically_related_to
7,English,Old Frisian,derived_from
61,English,Saterland Frisian,etymologically_related_to
2,English,Saterland Frisian,derived_from
1,English,Saterland Frisian,borrowed_from
134,English,Middle High German,derived_from
140,English,Middle High German,etymologically_related_to
4,English,Middle High German,inherited_from
1,English,Middle High German,borrowed_from
175,English,Scottish Gaelic,etymologically_related_to
261,English,Scottish Gaelic,derived_from
76,English,Scottish Gaelic,borrowed_from
4,English,Scottish Gaelic,compound_of
86,English,Old Irish,derived_from
9,English,Old Irish,borrowed_from
55,English,Old Irish,etymologically_related_to
1,English,Old Irish,learned_borrowing_from
2,English,Old Irish,inherited_from
1,English,Old Irish,has_prefix_with_root
1,English,Old Irish,has_suffix
212,English,Proto-Celtic,derived_from
46,English,Proto-Celtic,etymologically_related_to
4,English,Proto-Celtic,inherited_from
1,English,Proto-Celtic,has_prefix_with_root
1,English,Proto-Celtic,has_suffix
2,English,Proto-Celtic,compound_of
1,English,Proto-Celtic,borrowed_from
735,English,Irish,etymologically_related_to
209,English,Irish,borrowed_from
654,English,Irish,derived_from
2,English,Irish,compound_of
2,English,Irish,has_affix
64,English,Classical Nahuatl,etymologically_related_to
74,English,Classical Nahuatl,derived_from
24,English,Classical Nahuatl,borrowed_from
11,English,Classical Nahuatl,compound_of
8,English,Classical Nahuatl,has_prefix_with_root
8,English,Classical Nahuatl,has_suffix
2,English,Classical Nahuatl,learned_borrowing_from
2,English,Classical Nahuatl,calque_of
20,English,Classical Nahuatl,has_affix
131,English,Proto-Slavic,derived_from
44,English,Proto-Slavic,etymologically_related_to
1,English,Proto-Slavic,inherited_from
175,English,Low German,etymologically_related_to
8,English,Low German,borrowed_from
26,English,Low German,derived_from
3,English,Low German,has_affix
51,English,Ojibwe,etymologically_related_to
15,English,Ojibwe,borrowed_from
33,English,Ojibwe,derived_from
3,English,Ojibwe,calque_of
2,English,Ojibwe,compound_of
3,English,Ojibwe,has_confix
107,English,Chinese,etymologically_related_to
192,English,Chinese,derived_from
68,English,Chinese,borrowed_from
31,English,Chinese,calque_of
2,English,Chinese,compound_of
3,English,Chinese,semantic_loan_of
1,English,Chinese,phono-semantic_matching_of
50,English,Cantonese,borrowed_from
30,English,Cantonese,derived_from
18,English,Cantonese,etymologically_related_to
3,English,Cantonese,calque_of
13,English,Min Nan,derived_from
13,English,Min Nan,etymologically_related_to
18,English,Min Nan,borrowed_from
2,English,Min Nan,compound_of
152,English,Vietnamese,borrowed_from
30,English,Vietnamese,etymologically_related_to
8,English,Vietnamese,derived_from
1,English,Vietnamese,calque_of
6,English,Old Swedish,etymologically_related_to
10,English,Old Swedish,derived_from
38,English,Proto-Brythonic,derived_from
7,English,Proto-Brythonic,etymologically_related_to
10,English,Faroese,etymologically_related_to
12,English,Faroese,borrowed_from
4,English,Faroese,derived_from
33,English,Old Latin,derived_from
8,English,Old Latin,etymologically_related_to
1,English,Esperanto,etymologically_related_to
5,English,Esperanto,derived_from
2,English,Esperanto,calque_of
1,English,Esperanto,has_prefix_with_root
1,English,Esperanto,has_suffix
3,English,Esperanto,borrowed_from
10,English,Provençal,derived_from
1,English,Provençal,etymologically_related_to
1,English,Provençal,borrowed_from
1,English,Provençal,calque_of
74,English,Old Dutch,derived_from
26,English,Old Dutch,etymologically_related_to
1,English,Old Dutch,inherited_from
56,English,Albanian,etymologically_related_to
7,English,Albanian,derived_from
38,English,Albanian,borrowed_from
1,English,Albanian,has_prefix_with_root
1,English,Albanian,has_suffix
2,English,Albanian,calque_of
17,English,Mexican Spanish,borrowed_from
1,English,Adnyamathanha,etymologically_related_to
89,English,Serbo-Croatian,etymologically_related_to
65,English,Serbo-Croatian,derived_from
73,English,Serbo-Croatian,borrowed_from
2,English,Serbo-Croatian,has_affix
1,English,Serbo-Croatian,calque_of
15,English,Latvian,etymologically_related_to
5,English,Latvian,borrowed_from
5,English,Latvian,derived_from
5,English,Phoenician,etymologically_related_to
24,English,Phoenician,derived_from
2,English,Phoenician,compound_of
2,English,Ugaritic,derived_from
3,English,Moroccan Amazigh,etymologically_related_to
56,English,Turkish,etymologically_related_to
108,English,Turkish,derived_from
95,English,Turkish,borrowed_from
2,English,Turkish,calque_of
3,English,Algerian Arabic,borrowed_from
2,English,Algerian Arabic,etymologically_related_to
4,English,Algerian Arabic,derived_from
4,English,Mycenaean Greek,derived_from
6,English,Mycenaean Greek,etymologically_related_to
315,English,Polish,derived_from
537,English,Polish,borrowed_from
236,English,Polish,etymologically_related_to
8,English,Polish,unadapted_borrowing_from
1,English,Polish,has_prefix_with_root
1,English,Polish,has_suffix
9,English,Polish,calque_of
7,English,Polish,has_affix
11,English,Lombardic,derived_from
19,English,Nahuatl,etymologically_related_to
36,English,Nahuatl,derived_from
3,English,Nahuatl,borrowed_from
107,English,Basque,derived_from
48,English,Basque,etymologically_related_to
2,English,Basque,compound_of
24,English,Basque,borrowed_from
19,English,Alemannic German,etymologically_related_to
8,English,Alemannic German,borrowed_from
11,English,Alemannic German,derived_from
43,English,Old Persian,derived_from
10,English,Old Persian,etymologically_related_to
5,English,Old Persian,borrowed_from
16,English,Old Armenian,etymologically_related_to
10,English,Old Armenian,derived_from
7,English,Old Armenian,borrowed_from
8,English,Kimbundu,derived_from
3,English,Kimbundu,borrowed_from
1,English,Kimbundu,etymologically_related_to
72,English,Byzantine Greek,derived_from
19,English,Byzantine Greek,borrowed_from
1,English,Byzantine Greek,calque_of
13,English,Classical Persian,derived_from
3,English,Classical Persian,borrowed_from
13,English,Bengali,etymologically_related_to
16,English,Bengali,derived_from
60,English,Bengali,borrowed_from
1,English,Bengali,calque_of
25,English,Taíno,derived_from
3,English,Taíno,etymologically_related_to
1,English,Taíno,borrowed_from
3,English,Tibetan,calque_of
24,English,Tibetan,etymologically_related_to
27,English,Tibetan,derived_from
53,English,Tibetan,borrowed_from
3,English,Tibetan,has_affix
1,English,Tswana,has_prefix
1,English,Tswana,has_prefix_with_root
14,English,Tswana,borrowed_from
8,English,Tswana,etymologically_related_to
10,English,Tswana,derived_from
13,English,Quechua,etymologically_related_to
49,English,Quechua,derived_from
11,English,Quechua,borrowed_from
18,English,Mapudungun,derived_from
2,English,Mapudungun,borrowed_from
3,English,Mapudungun,etymologically_related_to
54,English,Middle Persian,derived_from
21,English,Middle Persian,etymologically_related_to
6,English,Middle Persian,borrowed_from
1,English,aa,etymologically_related_to
1,English,aa,derived_from
2,English,Oscan,derived_from
1,English,Oscan,etymologically_related_to
28,English,Khmer,borrowed_from
3,English,Khmer,etymologically_related_to
17,English,Khmer,derived_from
2,English,Kikuyu,borrowed_from
34,English,Proto-Indo-Iranian,derived_from
2,English,Proto-Indo-Iranian,etymologically_related_to
1,English,Proto-Indo-Iranian,has_root
2,English,Gilbertese,borrowed_from
12,English,Lao,derived_from
11,English,Lao,borrowed_from
4,English,Lao,etymologically_related_to
12,English,Norwegian Nynorsk,etymologically_related_to
3,English,Norwegian Nynorsk,borrowed_from
82,English,Catalan,borrowed_from
20,English,Catalan,derived_from
31,English,Catalan,etymologically_related_to
1,English,Catalan,unadapted_borrowing_from
4,English,Catalan,has_affix
18,English,Romanian,derived_from
75,English,Romanian,borrowed_from
24,English,Romanian,etymologically_related_to
1,English,Romanian,calque_of
1,English,Bambara,derived_from
5,English,Bambara,borrowed_from
2,English,Bambara,etymologically_related_to
2,English,Dhivehi,derived_from
5,English,Dhivehi,borrowed_from
4,English,Chichewa,derived_from
3,English,Chichewa,etymologically_related_to
2,English,Chichewa,borrowed_from
7,English,Khoekhoe,derived_from
3,English,Khoekhoe,borrowed_from
3,English,Khoekhoe,etymologically_related_to
2,English,Khoekhoe,compound_of
28,English,Nepali,borrowed_from
14,English,Nepali,derived_from
5,English,Nepali,etymologically_related_to
2,English,Undetermined,compound_of
84,English,Undetermined,etymologically_related_to
5,English,Undetermined,has_affix
5,English,Undetermined,derived_from
12,English,Guaraní,etymologically_related_to
11,English,Guaraní,derived_from
4,English,Rwanda-Rundi,borrowed_from
49,English,Slovak,derived_from
11,English,Slovak,etymologically_related_to
31,English,Slovak,borrowed_from
57,English,Akkadian,derived_from
25,English,Akkadian,etymologically_related_to
3,English,Akkadian,learned_borrowing_from
10,English,Akkadian,borrowed_from
3,English,Ewe,etymologically_related_to
2,English,Ewe,derived_from
17,English,Thai,etymologically_related_to
120,English,Thai,borrowed_from
24,English,Thai,derived_from
3,English,Tongan,derived_from
4,English,Tongan,borrowed_from
1,English,Tongan,etymologically_related_to
10,English,Samoan,borrowed_from
3,English,Samoan,derived_from
3,English,Samoan,etymologically_related_to
91,English,Ukrainian,etymologically_related_to
124,English,Ukrainian,borrowed_from
144,English,Ukrainian,derived_from
2,English,Ukrainian,has_affix
12,English,Old East Slavic,etymologically_related_to
21,English,Old East Slavic,derived_from
69,English,Swahili,borrowed_from
19,English,Swahili,derived_from
19,English,Swahili,etymologically_related_to
1,English,Swahili,clipping_of
4,English,Luganda,derived_from
4,English,Luganda,borrowed_from
3,English,Shona,derived_from
9,English,Shona,borrowed_from
2,English,Shona,etymologically_related_to
43,English,Yoruba,borrowed_from
8,English,Yoruba,derived_from
1,English,Yoruba,etymologically_related_to
3,English,Bislama,borrowed_from
2,English,Turkmen,etymologically_related_to
3,English,Turkmen,borrowed_from
2,English,Turkmen,derived_from
1,English,Bactrian,etymologically_related_to
1,English,Bactrian,derived_from
6,English,Sinhalese,derived_from
4,English,Sinhalese,etymologically_related_to
19,English,Sinhalese,borrowed_from
2,English,Niuean,etymologically_related_to
1,English,Niuean,borrowed_from
2,English,Palauan,etymologically_related_to
1,English,Proto-Malayo-Polynesian,inherited_from
2,English,Proto-Malayo-Polynesian,derived_from
10,English,Old Turkic,derived_from
5,English,Old Turkic,etymologically_related_to
1,English,Old Turkic,learned_borrowing_from
9,English,Proto-Italic,etymologically_related_to
70,English,Proto-Italic,derived_from
1,English,Proto-Italic,inherited_from
2,English,Kongo,etymologically_related_to
8,English,Kongo,derived_from
3,English,Kongo,borrowed_from
1,English,Fijian,etymologically_related_to
3,English,Fijian,borrowed_from
1,English,Fijian,derived_from
7,English,Burmese,etymologically_related_to
106,English,Burmese,borrowed_from
4,English,Burmese,derived_from
4,English,Chamorro,borrowed_from
1,English,Halkomelem,derived_from
3,English,Gamilaraay,borrowed_from
9,English,Gamilaraay,derived_from
3,English,Gamilaraay,etymologically_related_to
1,English,Siraya,etymologically_related_to
2,English,Siraya,borrowed_from
5,English,Lojban,etymologically_related_to
5,English,Lojban,borrowed_from
1,English,Lojban,derived_from
189,English,Welsh,etymologically_related_to
180,English,Welsh,derived_from
73,English,Welsh,borrowed_from
2,English,Welsh,unadapted_borrowing_from
13,English,Welsh,has_affix
4,English,Welsh,compound_of
109,English,West Frisian,etymologically_related_to
2,English,West Frisian,derived_from
11,English,West Frisian,borrowed_from
10,English,Wolof,derived_from
5,English,Wolof,etymologically_related_to
4,English,Wolof,borrowed_from
17,English,Avestan,etymologically_related_to
16,English,Avestan,derived_from
12,English,Avestan,borrowed_from
1,English,Avestan,learned_borrowing_from
3,English,Proto-Nahuan,derived_from
31,English,Slovene,borrowed_from
14,English,Slovene,etymologically_related_to
25,English,Slovene,derived_from
6,English,Franco-Provençal,derived_from
10,English,Franco-Provençal,etymologically_related_to
4,English,Romansch,etymologically_related_to
3,English,Romansch,borrowed_from
3,English,Romansch,derived_from
19,English,Old Church Slavonic,etymologically_related_to
16,English,Old Church Slavonic,derived_from
2,English,Old Church Slavonic,borrowed_from
30,English,Cebuano,borrowed_from
48,English,Cebuano,derived_from
1,English,Cebuano,calque_of
10,English,Cebuano,etymologically_related_to
4,English,Cebuano,compound_of
31,English,Sumerian,derived_from
1,English,Sumerian,etymologically_related_to
2,English,Sumerian,borrowed_from
19,English,Hawaiian,derived_from
146,English,Hawaiian,borrowed_from
50,English,Hawaiian,etymologically_related_to
2,English,Hawaiian,calque_of
2,English,Hawaiian,compound_of
13,English,Proto-Polynesian,derived_from
1,English,Proto-Polynesian,inherited_from
1,English,Western Keres,derived_from
1,English,Western Keres,etymologically_related_to
18,English,Malayalam,derived_from
21,English,Malayalam,borrowed_from
10,English,Malayalam,etymologically_related_to
24,English,Breton,etymologically_related_to
12,English,Breton,derived_from
4,English,Breton,borrowed_from
4,English,Attic Greek,derived_from
41,English,Georgian,derived_from
70,English,Georgian,borrowed_from
13,English,Georgian,etymologically_related_to
2,English,Georgian,blend_of
8,English,Powhatan,etymologically_related_to
10,English,Powhatan,derived_from
2,English,Powhatan,borrowed_from
11,English,Indonesian,etymologically_related_to
41,English,Indonesian,borrowed_from
20,English,Indonesian,derived_from
2,English,Indonesian,blend_of
6,English,Old Portuguese,etymologically_related_to
8,English,Old Portuguese,derived_from
5,English,Aymara,derived_from
1,English,Aymara,etymologically_related_to
2,English,Aymara,borrowed_from
3,English,Proto-Sino-Tibetan,derived_from
4,English,Dharug,etymologically_related_to
25,English,Dharug,borrowed_from
3,English,Dharug,derived_from
1,English,Guugu Yimidhirr,derived_from
22,English,Zulu,derived_from
25,English,Zulu,borrowed_from
12,English,Zulu,etymologically_related_to
